ENERGY;Dx;Dy;Dz;Pcis
 -205.705828546  ;  0.2901  ; -1.7918   ;  0.1712  ;1
 -205.684750458  ;  0.2946  ; -1.8493   ;  0.1883  ;1
 -205.664966165  ;  0.2996  ; -1.8989   ;  0.1906  ;1
 -205.646815240  ;  0.3050  ; -1.9403   ;  0.1779  ;1
 -205.630423977  ;  0.3103  ; -1.9726   ;  0.1494  ;1
 -205.615805984  ;  0.3152  ; -1.9946   ;  0.1046  ;1
 -205.602911242  ;  0.3194  ; -2.0052   ;  0.0443  ;1
 -205.591650652  ;  0.3226  ; -2.0039   ; -0.0286  ;1
 -205.581909642  ;  0.3248  ; -1.9919   ; -0.1090  ;1
 -205.573557751  ;  0.3262  ; -1.9712   ; -0.1907  ;1
 -205.566455705  ;  0.3271  ; -1.9446   ; -0.2677  ;1
 -205.560461142  ;  0.3279  ; -1.9154   ; -0.3360  ;1
 -205.295298002  ;  0.3454  ; -1.1150   ; -0.4578  ;1
 -205.580285393  ;  0.3365  ; -1.1980   ; -0.3355  ;1
 -205.709212938  ;  0.3309  ; -1.2878   ; -0.2237  ;1
 -205.760489498  ;  0.3281  ; -1.3811   ; -0.1223  ;1
 -205.772552709  ;  0.3275  ; -1.4738   ; -0.0328  ;1
 -205.765065930  ;  0.3287  ; -1.5617   ;  0.0432  ;1
 -205.748288901  ;  0.3313  ; -1.6424   ;  0.1043  ;1
 -205.727652577  ;  0.3351  ; -1.7150   ;  0.1500  ;1
 -205.706053398  ;  0.3398  ; -1.7792   ;  0.1806  ;1
 -205.685004421  ;  0.3451  ; -1.8354   ;  0.1961  ;1
 -205.665255211  ;  0.3508  ; -1.8834   ;  0.1967  ;1
 -205.647145954  ;  0.3565  ; -1.9230   ;  0.1818  ;1
 -205.630803449  ;  0.3617  ; -1.9530   ;  0.1510  ;1
 -205.616241172  ;  0.3661  ; -1.9725   ;  0.1040  ;1
 -205.603407850  ;  0.3695  ; -1.9804   ;  0.0420  ;1
 -205.592211695  ;  0.3718  ; -1.9768   ; -0.0318  ;1
 -205.582534335  ;  0.3730  ; -1.9629   ; -0.1120  ;1
 -205.574241076  ;  0.3734  ; -1.9411   ; -0.1925  ;1
 -205.567188842  ;  0.3736  ; -1.9143   ; -0.2680  ;1
 -205.561232566  ;  0.3742  ; -1.8853   ; -0.3347  ;1
 -205.295741238  ;  0.3784  ; -1.1069   ; -0.4440  ;1
 -205.580587966  ;  0.3718  ; -1.1894   ; -0.3216  ;1
 -205.709449633  ;  0.3685  ; -1.2785   ; -0.2098  ;1
 -205.760698206  ;  0.3680  ; -1.3713   ; -0.1084  ;1
 -205.772754349  ;  0.3697  ; -1.4632   ; -0.0190  ;1
 -205.765272846  ;  0.3729  ; -1.5503   ;  0.0566  ;1
 -205.748509302  ;  0.3773  ; -1.6302   ;  0.1170  ;1
 -205.727892814  ;  0.3825  ; -1.7018   ;  0.1618  ;1
 -205.706319160  ;  0.3884  ; -1.7649   ;  0.1911  ;1
 -205.685301365  ;  0.3946  ; -1.8197   ;  0.2051  ;1
 -205.665589336  ;  0.4007  ; -1.8661   ;  0.2037  ;1
 -205.647523765  ;  0.4066  ; -1.9037   ;  0.1866  ;1
 -205.631231710  ;  0.4116  ; -1.9315   ;  0.1535  ;1
 -205.616726177  ;  0.4155  ; -1.9486   ;  0.1043  ;1
 -205.603954219  ;  0.4181  ; -1.9540   ;  0.0407  ;1
 -205.592821010  ;  0.4194  ; -1.9483   ; -0.0338  ;1
 -205.583204238  ;  0.4196  ; -1.9328   ; -0.1137  ;1
 -205.574965183  ;  0.4193  ; -1.9102   ; -0.1933  ;1
 -205.567957461  ;  0.4189  ; -1.8832   ; -0.2673  ;1
 -205.562033977  ;  0.4192  ; -1.8548   ; -0.3327  ;1
 -205.296235381  ;  0.4110  ; -1.0975   ; -0.4287  ;1
 -205.580931987  ;  0.4065  ; -1.1795   ; -0.3063  ;1
 -205.709723212  ;  0.4054  ; -1.2680   ; -0.1944  ;1
 -205.760941789  ;  0.4072  ; -1.3600   ; -0.0932  ;1
 -205.772990238  ;  0.4110  ; -1.4511   ; -0.0040  ;1
 -205.765514319  ;  0.4162  ; -1.5374   ;  0.0711  ;1
 -205.748765068  ;  0.4222  ; -1.6164   ;  0.1308  ;1
 -205.728169517  ;  0.4288  ; -1.6870   ;  0.1746  ;1
 -205.706622639  ;  0.4357  ; -1.7489   ;  0.2025  ;1
 -205.685637311  ;  0.4427  ; -1.8023   ;  0.2148  ;1
 -205.665963667  ;  0.4492  ; -1.8471   ;  0.2115  ;1
 -205.647942722  ;  0.4551  ; -1.8827   ;  0.1921  ;1
 -205.631701535  ;  0.4599  ; -1.9083   ;  0.1566  ;1
 -205.617252282  ;  0.4632  ; -1.9230   ;  0.1053  ;1
 -205.604539962  ;  0.4650  ; -1.9262   ;  0.0401  ;1
 -205.593466486  ;  0.4653  ; -1.9186   ; -0.0351  ;1
 -205.583905616  ;  0.4647  ; -1.9018   ; -0.1148  ;1
 -205.575714942  ;  0.4637  ; -1.8786   ; -0.1934  ;1
 -205.568745342  ;  0.4629  ; -1.8517   ; -0.2663  ;1
 -205.562848327  ;  0.4630  ; -1.8239   ; -0.3305  ;1
 -205.296803066  ;  0.4424  ; -1.0870   ; -0.4123  ;1
 -205.581325099  ;  0.4401  ; -1.1683   ; -0.2898  ;1
 -205.710035212  ;  0.4413  ; -1.2561   ; -0.1780  ;1
 -205.761219536  ;  0.4454  ; -1.3474   ; -0.0768  ;1
 -205.773259214  ;  0.4514  ; -1.4377   ;  0.0121  ;1
 -205.765789493  ;  0.4585  ; -1.5231   ;  0.0867  ;1
 -205.749056039  ;  0.4663  ; -1.6010   ;  0.1457  ;1
 -205.728483402  ;  0.4743  ; -1.6705   ;  0.1884  ;1
 -205.706965530  ;  0.4822  ; -1.7312   ;  0.2149  ;1
 -205.686015038  ;  0.4898  ; -1.7831   ;  0.2255  ;1
 -205.666382155  ;  0.4967  ; -1.8262   ;  0.2200  ;1
 -205.648408044  ;  0.5026  ; -1.8598   ;  0.1984  ;1
 -205.632219500  ;  0.5071  ; -1.8832   ;  0.1605  ;1
 -205.617827522  ;  0.5098  ; -1.8955   ;  0.1070  ;1
 -205.605174713  ;  0.5107  ; -1.8966   ;  0.0403  ;1
 -205.594159513  ;  0.5103  ; -1.8873   ; -0.0355  ;1
 -205.584651801  ;  0.5088  ; -1.8695   ; -0.1150  ;1
 -205.576505775  ;  0.5072  ; -1.8459   ; -0.1929  ;1
 -205.569570042  ;  0.5061  ; -1.8192   ; -0.2647  ;1
 -205.563695223  ;  0.5060  ; -1.7921   ; -0.3278  ;1
 -205.297413835  ;  0.4730  ; -1.0752   ; -0.3948  ;1
 -205.581755568  ;  0.4728  ; -1.1559   ; -0.2722  ;1
 -205.710381174  ;  0.4763  ; -1.2429   ; -0.1603  ;1
 -205.761529531  ;  0.4827  ; -1.3334   ; -0.0593  ;1
 -205.773559982  ;  0.4908  ; -1.4227   ;  0.0293  ;1
 -205.766096830  ;  0.4999  ; -1.5072   ;  0.1034  ;1
 -205.749380109  ;  0.5093  ; -1.5841   ;  0.1616  ;1
 -205.728831682  ;  0.5186  ; -1.6524   ;  0.2032  ;1
 -205.707344331  ;  0.5275  ; -1.7117   ;  0.2282  ;1
 -205.686430265  ;  0.5358  ; -1.7622   ;  0.2369  ;1
 -205.666839685  ;  0.5430  ; -1.8035   ;  0.2293  ;1
 -205.648913687  ;  0.5488  ; -1.8351   ;  0.2052  ;1
 -205.632778499  ;  0.5529  ; -1.8563   ;  0.1649  ;1
 -205.618443625  ;  0.5549  ; -1.8665   ;  0.1094  ;1
 -205.605848982  ;  0.5551  ; -1.8657   ;  0.0413  ;1
 -205.594889444  ;  0.5538  ; -1.8549   ; -0.0352  ;1
 -205.585431178  ;  0.5517  ; -1.8363   ; -0.1145  ;1
 -205.577325346  ;  0.5496  ; -1.8124   ; -0.1917  ;1
 -205.570418769  ;  0.5481  ; -1.7861   ; -0.2626  ;1
 -205.564561614  ;  0.5480  ; -1.7596   ; -0.3248  ;1
 -205.298091070  ;  0.5027  ; -1.0624   ; -0.3762  ;1
 -205.582230720  ;  0.5047  ; -1.1423   ; -0.2535  ;1
 -205.710762223  ;  0.5104  ; -1.2285   ; -0.1417  ;1
 -205.761870783  ;  0.5190  ; -1.3180   ; -0.0407  ;1
 -205.773891104  ;  0.5293  ; -1.4064   ;  0.0476  ;1
 -205.766435114  ;  0.5403  ; -1.4898   ;  0.1211  ;1
 -205.749736506  ;  0.5514  ; -1.5656   ;  0.1784  ;1
 -205.729214067  ;  0.5619  ; -1.6327   ;  0.2188  ;1
 -205.707759191  ;  0.5718  ; -1.6907   ;  0.2423  ;1
 -205.686883526  ;  0.5806  ; -1.7395   ;  0.2491  ;1
 -205.667337083  ;  0.5880  ; -1.7790   ;  0.2393  ;1
 -205.649460669  ;  0.5937  ; -1.8087   ;  0.2128  ;1
 -205.633379681  ;  0.5973  ; -1.8278   ;  0.1701  ;1
 -205.619101837  ;  0.5987  ; -1.8359   ;  0.1125  ;1
 -205.606564155  ;  0.5982  ; -1.8334   ;  0.0429  ;1
 -205.595657922  ;  0.5961  ; -1.8213   ; -0.0341  ;1
 -205.586245798  ;  0.5934  ; -1.8020   ; -0.1133  ;1
 -205.578176287  ;  0.5908  ; -1.7781   ; -0.1899  ;1
 -205.571294839  ;  0.5891  ; -1.7521   ; -0.2600  ;1
 -205.565451534  ;  0.5889  ; -1.7264   ; -0.3215  ;1
 -205.298824140  ;  0.5315  ; -1.0483   ; -0.3566  ;1
 -205.582745718  ;  0.5356  ; -1.1275   ; -0.2339  ;1
 -205.711175781  ;  0.5436  ; -1.2128   ; -0.1220  ;1
 -205.762241571  ;  0.5544  ; -1.3013   ; -0.0212  ;1
 -205.774251033  ;  0.5669  ; -1.3887   ;  0.0668  ;1
 -205.766802752  ;  0.5797  ; -1.4709   ;  0.1397  ;1
 -205.750123499  ;  0.5923  ; -1.5456   ;  0.1961  ;1
 -205.729628660  ;  0.6041  ; -1.6113   ;  0.2353  ;1
 -205.708208019  ;  0.6148  ; -1.6679   ;  0.2571  ;1
 -205.687372517  ;  0.6242  ; -1.7152   ;  0.2619  ;1
 -205.667871775  ;  0.6318  ; -1.7529   ;  0.2498  ;1
 -205.650046076  ;  0.6373  ; -1.7806   ;  0.2208  ;1
 -205.634019709  ;  0.6405  ; -1.7977   ;  0.1757  ;1
 -205.619798349  ;  0.6412  ; -1.8039   ;  0.1161  ;1
 -205.607315961  ;  0.6399  ; -1.7997   ;  0.0451  ;1
 -205.596460290  ;  0.6372  ; -1.7866   ; -0.0326  ;1
 -205.587090742  ;  0.6339  ; -1.7668   ; -0.1117  ;1
 -205.579053538  ;  0.6309  ; -1.7429   ; -0.1878  ;1
 -205.572193124  ;  0.6290  ; -1.7174   ; -0.2572  ;1
 -205.566359819  ;  0.6289  ; -1.6924   ; -0.3181  ;1
 -205.299613946  ;  0.5594  ; -1.0331   ; -0.3360  ;1
 -205.583299682  ;  0.5656  ; -1.1114   ; -0.2133  ;1
 -205.711620442  ;  0.5758  ; -1.1959   ; -0.1014  ;1
 -205.762640276  ;  0.5888  ; -1.2833   ; -0.0008  ;1
 -205.774638126  ;  0.6034  ; -1.3696   ;  0.0869  ;1
 -205.767198121  ;  0.6181  ; -1.4506   ;  0.1592  ;1
 -205.750539521  ;  0.6322  ; -1.5240   ;  0.2146  ;1
 -205.730073938  ;  0.6452  ; -1.5885   ;  0.2525  ;1
 -205.708689354  ;  0.6567  ; -1.6436   ;  0.2727  ;1
 -205.687895802  ;  0.6665  ; -1.6893   ;  0.2754  ;1
 -205.668442321  ;  0.6742  ; -1.7253   ;  0.2609  ;1
 -205.650668429  ;  0.6795  ; -1.7510   ;  0.2295  ;1
 -205.634697041  ;  0.6822  ; -1.7662   ;  0.1820  ;1
 -205.620531544  ;  0.6823  ; -1.7706   ;  0.1203  ;1
 -205.608102764  ;  0.6803  ; -1.7650   ;  0.0480  ;1
 -205.597295012  ;  0.6769  ; -1.7510   ; -0.0302  ;1
 -205.587964714  ;  0.6731  ; -1.7309   ; -0.1093  ;1
 -205.579956168  ;  0.6698  ; -1.7071   ; -0.1849  ;1
 -205.573113136  ;  0.6678  ; -1.6821   ; -0.2537  ;1
 -205.567286460  ;  0.6676  ; -1.6578   ; -0.3141  ;1
 -205.300470799  ;  0.5862  ; -1.0169   ; -0.3146  ;1
 -205.583895470  ;  0.5945  ; -1.0943   ; -0.1918  ;1
 -205.712095887  ;  0.6069  ; -1.1777   ; -0.0800  ;1
 -205.763065414  ;  0.6222  ; -1.2641   ;  0.0205  ;1
 -205.775050686  ;  0.6388  ; -1.3491   ;  0.1078  ;1
 -205.767619680  ;  0.6554  ; -1.4289   ;  0.1794  ;1
 -205.750983356  ;  0.6711  ; -1.5010   ;  0.2339  ;1
 -205.730549091  ;  0.6852  ; -1.5641   ;  0.2704  ;1
 -205.709202770  ;  0.6976  ; -1.6177   ;  0.2888  ;1
 -205.688453318  ;  0.7078  ; -1.6617   ;  0.2894  ;1
 -205.669048958  ;  0.7155  ; -1.6959   ;  0.2725  ;1
 -205.651328216  ;  0.7206  ; -1.7198   ;  0.2385  ;1
 -205.635412363  ;  0.7228  ; -1.7331   ;  0.1886  ;1
 -205.621302281  ;  0.7222  ; -1.7358   ;  0.1250  ;1
 -205.608925607  ;  0.7195  ; -1.7290   ;  0.0513  ;1
 -205.598163341  ;  0.7156  ; -1.7142   ; -0.0275  ;1
 -205.588869220  ;  0.7113  ; -1.6938   ; -0.1067  ;1
 -205.580885955  ;  0.7078  ; -1.6703   ; -0.1819  ;1
 -205.574056907  ;  0.7057  ; -1.6459   ; -0.2502  ;1
 -205.568233651  ;  0.7056  ; -1.6223   ; -0.3101  ;1
 -205.301394277  ;  0.6119  ; -0.9997   ; -0.2924  ;1
 -205.584531529  ;  0.6224  ; -1.0761   ; -0.1695  ;1
 -205.712600339  ;  0.6370  ; -1.1584   ; -0.0578  ;1
 -205.763515163  ;  0.6545  ; -1.2436   ;  0.0425  ;1
 -205.775486855  ;  0.6732  ; -1.3273   ;  0.1294  ;1
 -205.768065524  ;  0.6917  ; -1.4058   ;  0.2004  ;1
 -205.751452998  ;  0.7088  ; -1.4765   ;  0.2538  ;1
 -205.731051963  ;  0.7241  ; -1.5381   ;  0.2888  ;1
 -205.709745914  ;  0.7372  ; -1.5902   ;  0.3055  ;1
 -205.689042424  ;  0.7478  ; -1.6326   ;  0.3039  ;1
 -205.669688709  ;  0.7556  ; -1.6650   ;  0.2846  ;1
 -205.652022064  ;  0.7603  ; -1.6870   ;  0.2480  ;1
 -205.636161887  ;  0.7620  ; -1.6986   ;  0.1957  ;1
 -205.622106371  ;  0.7608  ; -1.6998   ;  0.1301  ;1
 -205.609779974  ;  0.7575  ; -1.6918   ;  0.0552  ;1
 -205.599060552  ;  0.7530  ; -1.6765   ; -0.0243  ;1
 -205.589799475  ;  0.7484  ; -1.6560   ; -0.1035  ;1
 -205.581838196  ;  0.7446  ; -1.6328   ; -0.1784  ;1
 -205.575019957  ;  0.7424  ; -1.6090   ; -0.2463  ;1
 -205.569197201  ;  0.7424  ; -1.5861   ; -0.3059  ;1
 -205.302343459  ;  0.6367  ; -0.9814   ; -0.2695  ;1
 -205.585192804  ;  0.6493  ; -1.0568   ; -0.1466  ;1
 -205.713128332  ;  0.6661  ; -1.1379   ; -0.0349  ;1
 -205.763987189  ;  0.6858  ; -1.2218   ;  0.0653  ;1
 -205.775944797  ;  0.7066  ; -1.3042   ;  0.1517  ;1
 -205.768533483  ;  0.7268  ; -1.3813   ;  0.2220  ;1
 -205.751945740  ;  0.7454  ; -1.4506   ;  0.2743  ;1
 -205.731579379  ;  0.7618  ; -1.5107   ;  0.3079  ;1
 -205.710315305  ;  0.7755  ; -1.5612   ;  0.3227  ;1
 -205.689659544  ;  0.7865  ; -1.6020   ;  0.3190  ;1
 -205.670358069  ;  0.7942  ; -1.6326   ;  0.2971  ;1
 -205.652746717  ;  0.7987  ; -1.6529   ;  0.2580  ;1
 -205.636942806  ;  0.7998  ; -1.6627   ;  0.2033  ;1
 -205.622941683  ;  0.7981  ; -1.6626   ;  0.1358  ;1
 -205.610664593  ;  0.7941  ; -1.6536   ;  0.0596  ;1
 -205.599986425  ;  0.7891  ; -1.6378   ; -0.0205  ;1
 -205.590756450  ;  0.7842  ; -1.6173   ; -0.0997  ;1
 -205.582815123  ;  0.7802  ; -1.5945   ; -0.1744  ;1
 -205.576005813  ;  0.7780  ; -1.5712   ; -0.2420  ;1
 -205.570181940  ;  0.7780  ; -1.5491   ; -0.3012  ;1
 -205.303366789  ;  0.6605  ; -0.9621   ; -0.2458  ;1
 -205.585894770  ;  0.6752  ; -1.0364   ; -0.1229  ;1
 -205.713682964  ;  0.6942  ; -1.1163   ; -0.0113  ;1
 -205.764480482  ;  0.7161  ; -1.1989   ;  0.0887  ;1
 -205.776422599  ;  0.7388  ; -1.2799   ;  0.1746  ;1
 -205.769021927  ;  0.7608  ; -1.3555   ;  0.2442  ;1
 -205.752460497  ;  0.7808  ; -1.4233   ;  0.2954  ;1
 -205.732130706  ;  0.7982  ; -1.4819   ;  0.3275  ;1
 -205.710910503  ;  0.8127  ; -1.5308   ;  0.3403  ;1
 -205.690304112  ;  0.8239  ; -1.5699   ;  0.3343  ;1
 -205.671056015  ;  0.8316  ; -1.5988   ;  0.3100  ;1
 -205.653500353  ;  0.8357  ; -1.6174   ;  0.2683  ;1
 -205.637752172  ;  0.8363  ; -1.6257   ;  0.2113  ;1
 -205.623803887  ;  0.8340  ; -1.6243   ;  0.1419  ;1
 -205.611573565  ;  0.8295  ; -1.6145   ;  0.0644  ;1
 -205.600933386  ;  0.8241  ; -1.5983   ; -0.0162  ;1
 -205.591730814  ;  0.8188  ; -1.5780   ; -0.0956  ;1
 -205.583805630  ;  0.8147  ; -1.5556   ; -0.1701  ;1
 -205.577001588  ;  0.8125  ; -1.5330   ; -0.2374  ;1
 -205.571173241  ;  0.8125  ; -1.5116   ; -0.2963  ;1
 -205.304443356  ;  0.6832  ; -0.9418   ; -0.2215  ;1
 -205.586628835  ;  0.7000  ; -1.0150   ; -0.0986  ;1
 -205.714260311  ;  0.7212  ; -1.0936   ;  0.0130  ;1
 -205.764992608  ;  0.7452  ; -1.1748   ;  0.1126  ;1
 -205.776918271  ;  0.7699  ; -1.2542   ;  0.1981  ;1
 -205.769528828  ;  0.7936  ; -1.3283   ;  0.2669  ;1
 -205.752995145  ;  0.8150  ; -1.3946   ;  0.3169  ;1
 -205.732703759  ;  0.8335  ; -1.4516   ;  0.3475  ;1
 -205.711529391  ;  0.8485  ; -1.4990   ;  0.3584  ;1
 -205.690974208  ;  0.8600  ; -1.5363   ;  0.3501  ;1
 -205.671780983  ;  0.8676  ; -1.5636   ;  0.3232  ;1
 -205.654281917  ;  0.8714  ; -1.5805   ;  0.2790  ;1
 -205.638589591  ;  0.8715  ; -1.5874   ;  0.2196  ;1
 -205.624693423  ;  0.8685  ; -1.5849   ;  0.1484  ;1
 -205.612508392  ;  0.8636  ; -1.5744   ;  0.0697  ;1
 -205.601904155  ;  0.8578  ; -1.5581   ; -0.0115  ;1
 -205.592726630  ;  0.8523  ; -1.5379   ; -0.0910  ;1
 -205.584815183  ;  0.8481  ; -1.5160   ; -0.1654  ;1
 -205.578014149  ;  0.8458  ; -1.4940   ; -0.2324  ;1
 -205.572179356  ;  0.8460  ; -1.4733   ; -0.2912  ;1
 -205.305472547  ;  0.7049  ; -0.9207   ; -0.1966  ;1
 -205.587358594  ;  0.7238  ; -0.9926   ; -0.0738  ;1
 -205.714848402  ;  0.7471  ; -1.0699   ;  0.0377  ;1
