ENERGY;Dx;Dy;Dz;Pcis
 -205.747794944  ; -0.1650  ; -1.5306   ;  0.6272  ;1
 -205.736959773  ; -0.2611  ; -1.5397   ;  0.7585  ;1
 -205.725243219  ; -0.3516  ; -1.5478   ;  0.8775  ;1
 -205.712951997  ; -0.4369  ; -1.5552   ;  0.9856  ;1
 -205.700319278  ; -0.5172  ; -1.5618   ;  1.0839  ;1
 -205.687521157  ; -0.5930  ; -1.5677   ;  1.1735  ;1
 -205.674689971  ; -0.6646  ; -1.5731   ;  1.2554  ;1
 -205.661924828  ; -0.7322  ; -1.5780   ;  1.3307  ;1
 -205.649299915  ; -0.7962  ; -1.5824   ;  1.4000  ;1
 -205.636870787  ; -0.8566  ; -1.5864   ;  1.4640  ;1
 -205.624679024  ; -0.9137  ; -1.5901   ;  1.5235  ;1
 -205.612755715  ; -0.9676  ; -1.5935   ;  1.5788  ;1
 -205.721560415  ;  0.8907  ; -1.4034   ; -0.9970  ;1
 -205.746574903  ;  0.7392  ; -1.4232   ; -0.7258  ;1
 -205.762072299  ;  0.5947  ; -1.4416   ; -0.4750  ;1
 -205.770169008  ;  0.4574  ; -1.4584   ; -0.2443  ;1
 -205.772552709  ;  0.3275  ; -1.4738   ; -0.0328  ;1
 -205.770566823  ;  0.2049  ; -1.4877   ;  0.1605  ;1
 -205.765278179  ;  0.0893  ; -1.5003   ;  0.3366  ;1
 -205.757529451  ; -0.0194  ; -1.5117   ;  0.4967  ;1
 -205.747982853  ; -0.1217  ; -1.5220   ;  0.6421  ;1
 -205.737154757  ; -0.2180  ; -1.5312   ;  0.7740  ;1
 -205.725444365  ; -0.3086  ; -1.5395   ;  0.8937  ;1
 -205.713157956  ; -0.3940  ; -1.5470   ;  1.0025  ;1
 -205.700528402  ; -0.4745  ; -1.5537   ;  1.1014  ;1
 -205.687731585  ; -0.5505  ; -1.5598   ;  1.1916  ;1
 -205.674899722  ; -0.6224  ; -1.5652   ;  1.2742  ;1
 -205.662131860  ; -0.6902  ; -1.5702   ;  1.3500  ;1
 -205.649502167  ; -0.7544  ; -1.5747   ;  1.4198  ;1
 -205.637066208  ; -0.8151  ; -1.5788   ;  1.4844  ;1
 -205.624865616  ; -0.8724  ; -1.5825   ;  1.5443  ;1
 -205.612931529  ; -0.9266  ; -1.5860   ;  1.6000  ;1
 -205.721839615  ;  0.9315  ; -1.3922   ; -0.9854  ;1
 -205.746814153  ;  0.7804  ; -1.4123   ; -0.7136  ;1
 -205.762288350  ;  0.6363  ; -1.4307   ; -0.4624  ;1
 -205.770373754  ;  0.4994  ; -1.4477   ; -0.2311  ;1
 -205.772754349  ;  0.3697  ; -1.4632   ; -0.0190  ;1
 -205.770770755  ;  0.2472  ; -1.4773   ;  0.1749  ;1
 -205.765487664  ;  0.1317  ; -1.4900   ;  0.3516  ;1
 -205.757746139  ;  0.0230  ; -1.5016   ;  0.5124  ;1
 -205.748207174  ; -0.0793  ; -1.5119   ;  0.6584  ;1
 -205.737386233  ; -0.1757  ; -1.5213   ;  0.7910  ;1
 -205.725681853  ; -0.2665  ; -1.5297   ;  0.9114  ;1
 -205.713399832  ; -0.3520  ; -1.5373   ;  1.0208  ;1
 -205.700772720  ; -0.4327  ; -1.5441   ;  1.1204  ;1
 -205.687976184  ; -0.5089  ; -1.5503   ;  1.2113  ;1
 -205.675142313  ; -0.5810  ; -1.5559   ;  1.2945  ;1
 -205.662370100  ; -0.6491  ; -1.5609   ;  1.3709  ;1
 -205.649733697  ; -0.7135  ; -1.5655   ;  1.4413  ;1
 -205.637288704  ; -0.7744  ; -1.5697   ;  1.5064  ;1
 -205.625076819  ; -0.8320  ; -1.5735   ;  1.5667  ;1
 -205.613129243  ; -0.8864  ; -1.5770   ;  1.6229  ;1
 -205.722158667  ;  0.9714  ; -1.3797   ; -0.9725  ;1
 -205.747090267  ;  0.8208  ; -1.3999   ; -0.7003  ;1
 -205.762539605  ;  0.6771  ; -1.4185   ; -0.4485  ;1
 -205.770612942  ;  0.5404  ; -1.4355   ; -0.2167  ;1
 -205.772990238  ;  0.4110  ; -1.4511   ; -0.0040  ;1
 -205.771009058  ;  0.2887  ; -1.4653   ;  0.1905  ;1
 -205.765731772  ;  0.1733  ; -1.4782   ;  0.3678  ;1
 -205.757997692  ;  0.0645  ; -1.4899   ;  0.5293  ;1
 -205.748466487  ; -0.0379  ; -1.5004   ;  0.6760  ;1
 -205.737652642  ; -0.1343  ; -1.5099   ;  0.8093  ;1
 -205.725953975  ; -0.2252  ; -1.5184   ;  0.9304  ;1
 -205.713675780  ; -0.3109  ; -1.5261   ;  1.0405  ;1
 -205.701050256  ; -0.3918  ; -1.5331   ;  1.1409  ;1
 -205.688252845  ; -0.4682  ; -1.5393   ;  1.2324  ;1
 -205.675415526  ; -0.5405  ; -1.5450   ;  1.3163  ;1
 -205.662637223  ; -0.6088  ; -1.5502   ;  1.3933  ;1
 -205.649992097  ; -0.6735  ; -1.5548   ;  1.4643  ;1
 -205.637535791  ; -0.7346  ; -1.5591   ;  1.5299  ;1
 -205.625310076  ; -0.7924  ; -1.5630   ;  1.5907  ;1
 -205.613346254  ; -0.8471  ; -1.5666   ;  1.6474  ;1
 -205.722517733  ;  1.0104  ; -1.3659   ; -0.9584  ;1
 -205.747402710  ;  0.8603  ; -1.3861   ; -0.6857  ;1
 -205.762825141  ;  0.7169  ; -1.4048   ; -0.4335  ;1
 -205.770885462  ;  0.5806  ; -1.4219   ; -0.2011  ;1
 -205.773259214  ;  0.4514  ; -1.4377   ;  0.0121  ;1
 -205.771280603  ;  0.3292  ; -1.4520   ;  0.2072  ;1
 -205.766009454  ;  0.2139  ; -1.4649   ;  0.3852  ;1
 -205.758283153  ;  0.1052  ; -1.4767   ;  0.5473  ;1
 -205.748759927  ;  0.0027  ; -1.4873   ;  0.6948  ;1
 -205.737953203  ; -0.0938  ; -1.4969   ;  0.8288  ;1
 -205.726260021  ; -0.1848  ; -1.5056   ;  0.9506  ;1
 -205.713985127  ; -0.2707  ; -1.5134   ;  1.0615  ;1
 -205.701360362  ; -0.3518  ; -1.5205   ;  1.1625  ;1
 -205.688560932  ; -0.4284  ; -1.5268   ;  1.2548  ;1
 -205.675718692  ; -0.5009  ; -1.5326   ;  1.3393  ;1
 -205.662932520  ; -0.5694  ; -1.5379   ;  1.4169  ;1
 -205.650276602  ; -0.6343  ; -1.5427   ;  1.4885  ;1
 -205.637806632  ; -0.6956  ; -1.5470   ;  1.5547  ;1
 -205.625564475  ; -0.7537  ; -1.5510   ;  1.6160  ;1
 -205.613581550  ; -0.8085  ; -1.5547   ;  1.6731  ;1
 -205.722913150  ;  1.0486  ; -1.3506   ; -0.9432  ;1
 -205.747749023  ;  0.8989  ; -1.3709   ; -0.6701  ;1
 -205.763143199  ;  0.7559  ; -1.3897   ; -0.4173  ;1
 -205.771189915  ;  0.6199  ; -1.4069   ; -0.1845  ;1
 -205.773559982  ;  0.4908  ; -1.4227   ;  0.0293  ;1
 -205.771584027  ;  0.3688  ; -1.4371   ;  0.2250  ;1
 -205.766319164  ;  0.2536  ; -1.4502   ;  0.4037  ;1
 -205.758600742  ;  0.1449  ; -1.4621   ;  0.5665  ;1
 -205.749085450  ;  0.0424  ; -1.4728   ;  0.7146  ;1
 -205.738285590  ; -0.0543  ; -1.4825   ;  0.8494  ;1
 -205.726597384  ; -0.1454  ; -1.4913   ;  0.9719  ;1
 -205.714325019  ; -0.2315  ; -1.4992   ;  1.0835  ;1
 -205.701699946  ; -0.3127  ; -1.5064   ;  1.1852  ;1
 -205.688897146  ; -0.3896  ; -1.5129   ;  1.2782  ;1
 -205.676048352  ; -0.4622  ; -1.5188   ;  1.3634  ;1
 -205.663252420  ; -0.5310  ; -1.5242   ;  1.4417  ;1
 -205.650583545  ; -0.5961  ; -1.5291   ;  1.5139  ;1
 -205.638097507  ; -0.6577  ; -1.5335   ;  1.5806  ;1
 -205.625836284  ; -0.7159  ; -1.5376   ;  1.6426  ;1
 -205.613831432  ; -0.7710  ; -1.5414   ;  1.7002  ;1
 -205.723345468  ;  1.0856  ; -1.3340   ; -0.9269  ;1
 -205.748128759  ;  0.9364  ; -1.3544   ; -0.6533  ;1
 -205.763492748  ;  0.7938  ; -1.3732   ; -0.4001  ;1
 -205.771524958  ;  0.6581  ; -1.3905   ; -0.1668  ;1
 -205.773891104  ;  0.5293  ; -1.4064   ;  0.0476  ;1
 -205.771917955  ;  0.4074  ; -1.4209   ;  0.2439  ;1
 -205.766659694  ;  0.2923  ; -1.4340   ;  0.4232  ;1
 -205.758949469  ;  0.1836  ; -1.4460   ;  0.5866  ;1
 -205.749442326  ;  0.0811  ; -1.4568   ;  0.7355  ;1
 -205.738649364  ; -0.0156  ; -1.4666   ;  0.8709  ;1
 -205.726965925  ; -0.1069  ; -1.4755   ;  0.9942  ;1
 -205.714695598  ; -0.1931  ; -1.4835   ;  1.1066  ;1
 -205.702069444  ; -0.2746  ; -1.4908   ;  1.2090  ;1
